item,score,total_occ,preferred_occ
thick homepage,0.2,10,2
vocal slice,0.4444444444444444,9,4
front feat,0.3333333333333333,9,3
rear partner,0.3,10,3
helpful snake,0.3,10,3
unknown bone,0.5,10,5
clear custody,1.0,10,10
minimal coup,0.2,10,2
organic hair,0.9,10,9
genetic credibility,0.7,10,7
optical excavation,0.3,10,3
electoral hymn,0.2,10,2
linear combat,0.4444444444444444,9,4
dangerous constituency,0.9,10,9
established witness,1.0,9,9
confident funeral,0.0,10,0
busy accreditation,0.2222222222222222,9,2
similar householder,0.4,10,4
live blanket,0.1111111111111111,9,1
able flora,0.4444444444444444,9,4
naval brake,0.2222222222222222,9,2
fat authentication,0.0,10,0
efficient touchdown,0.4444444444444444,9,4
stable brother,0.8,10,8
notable equation,0.9,10,9
nuclear television,0.0,10,0
impossible color,0.3,10,3
experienced hull,0.2,10,2
intense vessel,0.3,10,3
Christian arc,0.6666666666666666,9,6
regional hectare,0.2,10,2
civilian prosperity,0.7777777777777778,9,7
scientific prisoner,0.5,10,5
prestigious revelation,0.6666666666666666,9,6
formal inability,0.7,10,7
commercial planet,0.0,10,0
nice bishop,0.875,8,7
abstract nursery,0.6,10,6
coastal participant,0.9,10,9
willing worm,0.4,10,4
blue lottery,0.0,9,0
exact theatre,0.5,10,5
North rugby,0.3333333333333333,9,3
decent repayment,0.9,10,9
complex hockey,0.8,10,8
severe telescope,0.0,9,0
registered DIY,0.25,8,2
wooden interval,0.3,10,3
environmental offspring,0.7,10,7
wealthy disagreement,0.5,8,4
violent mapping,0.1111111111111111,9,1
thick diary,0.7777777777777778,9,7
entire nothing,0.2222222222222222,9,2
corresponding integrity,0.5,8,4
certain compost,0.6,10,6
modern weakness,0.7777777777777778,9,7
integrated epic,0.1,10,1
magnificent corn,0.7777777777777778,9,7
serious novice,0.6666666666666666,9,6
right lamb,0.2857142857142857,7,2
Welsh anchor,0.7,10,7
dark legislation,0.2222222222222222,9,2
unknown storyline,0.8888888888888888,9,8
perfect local,0.5555555555555556,9,5
outstanding thief,0.4444444444444444,9,4
elderly pointer,0.3,10,3
junior downtown,0.3,10,3
mathematical bishop,0.1,10,1
corresponding aunt,0.4,10,4
narrow frog,0.4,10,4
live fort,0.1,10,1
widespread lease,0.4,10,4
enormous siege,0.7777777777777778,9,7
undergraduate wording,0.7,10,7
numerous wage,0.6,10,6
democratic mast,0.2222222222222222,9,2
corresponding arcade,0.2,10,2
superb proliferation,0.3,10,3
sure headquarters,0.2222222222222222,9,2
Latin trouble,0.8,10,8
manual entity,0.5555555555555556,9,5
adequate pity,0.8,10,8
wrong sleeping,0.1111111111111111,9,1
hot batsman,0.6666666666666666,9,6
manual hull,0.4,10,4
square well-being,0.1,10,1
preliminary headquarters,0.8888888888888888,9,8
wild journal,0.4,10,4
unknown bureaucracy,0.9,10,9
artistic catalog,0.8,10,8
psychological squash,0.5,8,4
wooden risk,0.1,10,1
on-line acclaim,0.875,8,7
estimated meantime,0.4,10,4
influential monarchy,0.9,10,9
social cruiser,0.9,10,9
junior abundance,0.3333333333333333,9,3
Arab ace,0.3,10,3
fair liaison,0.5555555555555556,9,5
amazing occupation,0.875,8,7
optical offence,0.4,10,4
steep cord,0.4,10,4
raw grassland,0.7777777777777778,9,7
multiple drag,0.25,8,2
appropriate songwriter,0.7777777777777778,9,7
inclusive maturity,0.4,10,4
varied rocket,0.3,10,3
rapid hearing,0.5555555555555556,9,5
electrical campus,0.5,10,5
logical commodity,0.4444444444444444,9,4
biological boss,0.3,10,3
adverse photography,0.6,10,6
nervous merger,0.8,10,8
Canadian sufferer,0.8,10,8
raw hull,0.625,8,5
eligible canopy,0.2,10,2
instrumental pressure,0.6666666666666666,9,6
minimal productivity,0.9,10,9
formal bat,0.2222222222222222,9,2
consistent tie,0.9,10,9
constant tonne,0.2222222222222222,9,2
sophisticated cliff,0.2222222222222222,9,2
sole fairy,0.4,10,4
elderly tram,0.3,10,3
heavy lecture,0.8,10,8
beautiful convention,0.8888888888888888,9,8
unlikely monster,0.8888888888888888,9,8
spectacular rank,0.7,10,7
east command,0.75,8,6
sound briefing,0.8,10,8
moral compost,0.2222222222222222,9,2
Soviet demo,0.6,10,6
worldwide classroom,0.8888888888888888,9,8
opposite passport,0.0,10,0
grand carrier,0.8,10,8
external sentence,0.2,10,2
dangerous coal,0.3,10,3
reliable recycling,0.6,10,6
terrorist breakfast,0.2,10,2
significant keyboard,0.4,10,4
Israeli suit,0.8,10,8
prior ceiling,0.1,10,1
parliamentary welfare,1.0,10,10
automatic sex,0.7777777777777778,9,7
universal workstation,0.6666666666666666,9,6
compulsory outing,0.6666666666666666,9,6
residential drawing,0.8,10,8
informal ramp,0.2222222222222222,9,2
vast conscience,0.9,10,9
qualified radar,0.5714285714285714,7,4
precise jury,0.5555555555555556,9,5
ethnic worry,0.75,8,6
automatic street,0.2,10,2
chronic relevance,0.6666666666666666,9,6
attractive harassment,0.0,10,0
Irish midnight,0.4444444444444444,9,4
Democratic sentiment,0.9,10,9
graphic shoot,0.5,10,5
electric sword,0.8,10,8
experienced pitch,0.75,8,6
famous syntax,0.625,8,5
mainstream reinforcement,0.7,10,7
crucial tobacco,0.375,8,3
notable server,0.8,10,8
ideal passion,0.7777777777777778,9,7
controversial download,0.9,10,9
relevant willingness,0.5,10,5
immediate fraction,0.5,10,5
potential mouth,0.125,8,1
medieval dividend,0.5,10,5
wise electricity,0.2,10,2
thick apparatus,1.0,9,9
North oak,0.6,10,6
adjacent asteroid,0.8,10,8
political dad,1.0,6,6
chronic portal,0.2222222222222222,9,2
radical guilt,0.5,10,5
mainstream collision,0.6,10,6
red dam,0.6,10,6
printed prisoner,0.0,9,0
peaceful flock,1.0,10,10
vertical spending,0.4,10,4
coastal suffering,0.6,10,6
Turkish default,0.3,10,3
instrumental butterfly,0.4444444444444444,9,4
occasional province,0.3,10,3
parliamentary inspection,0.6666666666666666,9,6
Latin prey,0.1111111111111111,9,1
net fiction,0.625,8,5
stable comrade,0.7,10,7
mathematical auction,0.3333333333333333,9,3
Italian induction,0.5,10,5
responsible ship,0.3,10,3
weekly agency,0.3,10,3
genuine afternoon,0.42857142857142855,7,3
reliable obstacle,0.7,10,7
variable fertility,0.5555555555555556,9,5
oral dining,0.2222222222222222,9,2
unlikely decline,0.8888888888888888,9,8
daily pensioner,0.25,8,2
worldwide produce,0.6666666666666666,9,6
crucial psychologist,0.7,10,7
gay majority,1.0,10,10
diverse electron,0.3,10,3
sad native,1.0,10,10
professional banana,0.0,10,0
disabled dynasty,0.8,10,8
broad pedestrian,0.5,10,5
minimum son,0.0,9,0
expensive doubt,0.4,10,4
presidential instructor,0.7777777777777778,9,7
full-time aspiration,0.7,10,7
weak fitting,0.6,10,6
vital mound,0.3,10,3
slight agent,0.5,10,5
spiritual grassland,0.6,10,6
complete ally,0.7777777777777778,9,7
brief expectation,1.0,10,10
marine ambassador,0.375,8,3
fascinating single,0.6,10,6
adverse quarry,0.2,10,2
North constraint,0.3,10,3
leading arc,0.5,8,4
video patience,0.4,10,4
critical pixel,0.8,10,8
narrow epilepsy,0.1,10,1
specified wire,0.8,10,8
qualified pint,0.3,10,3
flexible prison,0.3,10,3
applicable householder,0.5,6,3
obvious bell,0.4,10,4
blind sugar,0.0,9,0
wrong vector,0.8,10,8
familiar examiner,0.75,8,6
romantic visibility,0.2222222222222222,9,2
slow reef,0.3,10,3
vocal withdrawal,0.7,10,7
different erosion,0.5555555555555556,9,5
prime mammal,0.5555555555555556,9,5
written occupant,0.375,8,3
Italian clue,0.6666666666666666,9,6
careful destination,0.3333333333333333,9,3
Turkish injustice,0.7,10,7
defensive audio,0.1,10,1
realistic reporter,0.8,10,8
welcome pond,0.3333333333333333,9,3
severe wilderness,0.7,10,7
regular jar,1.0,10,10
static prevention,0.7,10,7
essential mortar,0.4,10,4
ethnic evacuation,0.875,8,7
comic heat,0.375,8,3
welcome sheep,0.4444444444444444,9,4
difficult artifact,0.625,8,5
weekly defender,0.6666666666666666,9,6
true textile,0.625,8,5
spectacular financing,0.875,8,7
naval ruin,0.5,10,5
urban chief,0.5,10,5
dedicated lottery,0.2,10,2
daily soldier,0.4,10,4
part-time ale,0.0,9,0
ready war,0.4444444444444444,9,4
clear householder,0.5,10,5
theoretical apostle,0.4,10,4
exceptional marketplace,1.0,9,9
parliamentary speciality,0.7777777777777778,9,7
enjoyable dust,0.0,10,0
giant disposal,1.0,9,9
abstract bedroom,0.7777777777777778,9,7
busy extinction,0.4444444444444444,9,4
Dutch foam,0.5,10,5
severe insert,0.1111111111111111,9,1
exceptional misuse,0.625,8,5
entire organiser,0.4444444444444444,9,4
combined macro,0.2222222222222222,9,2
evil shipping,0.3,10,3
front distress,0.3333333333333333,9,3
audio walker,0.2222222222222222,9,2
proud cafe,0.4,10,4
sorry healing,0.2,10,2
electrical instance,0.5,10,5
positive dismissal,0.6666666666666666,9,6
varied mankind,0.7,10,7
fast realm,0.5,10,5
logical goat,0.0,10,0
respective marble,0.4444444444444444,9,4
extra reception,0.8,10,8
interested inhibitor,0.375,8,3
efficient Scot,0.5555555555555556,9,5
dark pepper,0.6,10,6
outdoor hair,0.4444444444444444,9,4
lead snow,0.0,10,0
magnetic comedian,0.375,8,3
proud breath,0.1111111111111111,9,1
genetic utility,0.4,10,4
keen emergence,0.5,10,5
plain walker,1.0,7,7
massive instructor,0.4,10,4
defensive embassy,0.7,10,7
straight escort,0.6666666666666666,9,6
quick scientist,0.6,10,6
initial smoker,0.375,8,3
vertical sauce,0.1111111111111111,9,1
warm poster,0.4444444444444444,9,4
solid ambulance,0.6,10,6
southern goat,0.7777777777777778,9,7
exact coup,0.1111111111111111,9,1
remarkable byte,0.4444444444444444,9,4
blind crowd,0.6666666666666666,9,6
dependent exception,0.4444444444444444,9,4
generic creditor,0.5,10,5
expensive salvation,0.8,10,8
fictional care,0.5555555555555556,9,5
sure antibiotic,0.3333333333333333,9,3
necessary pest,0.6,10,6
clear investigator,0.3333333333333333,9,3
guilty junction,0.3333333333333333,9,3
pure shelf,0.4,10,4
interactive transportation,0.9,10,9
due tongue,0.0,9,0
electoral novice,0.8,10,8
cheap scholar,0.8,10,8
African nose,0.7777777777777778,9,7
detailed laugh,0.6,10,6
North gardening,0.375,8,3
experimental logo,0.8888888888888888,9,8
electrical outlook,0.2222222222222222,9,2
married ally,0.5555555555555556,9,5
marine rabbit,0.1,10,1
literary probe,0.7,10,7
Christian flat,0.4444444444444444,9,4
clinical phrase,0.7777777777777778,9,7
reliable baseball,0.7,10,7
continuous vet,0.0,9,0
competitive reconciliation,0.6,10,6
Conservative lesson,0.7,10,7
distant clothing,0.2222222222222222,9,2
naval van,0.3,10,3
tiny eating,0.3,10,3
mutual pdf,0.2222222222222222,9,2
printed critique,0.9,10,9
chronic alumnus,0.0,10,0
tough special,0.6,10,6
Polish routine,0.6666666666666666,9,6
dry liberal,0.5555555555555556,9,5
dangerous takeover,0.8,10,8
brown variable,0.25,8,2
national lad,0.5555555555555556,9,5
nervous circumstance,0.6666666666666666,9,6
yellow cooking,0.0,10,0
western indicator,0.7,10,7
vulnerable healing,0.4,10,4
dangerous gate,0.7,10,7
architectural thrust,0.75,8,6
east bronze,0.3,10,3
Western fridge,0.4,10,4
mechanical inflammation,0.5,10,5
enjoyable religion,0.9,10,9
conservative mobility,0.625,8,5
ethnic cash,0.0,9,0
outdoor tutorial,0.8181818181818182,11,9
blue secret,0.2727272727272727,11,3
lovely tenancy,0.7777777777777778,9,7
distant oxygen,0.2222222222222222,9,2
sexual door,0.2222222222222222,9,2
functional export,0.6,10,6
electoral guitar,0.1111111111111111,9,1
ready warranty,0.6666666666666666,9,6
strategic liquid,0.3,10,3
legal starter,0.7777777777777778,9,7
full-time violence,0.5,8,4
brief fin,0.1111111111111111,9,1
frequent mathematician,0.2222222222222222,9,2
dry outline,0.5555555555555556,9,5
industrial globalisation,0.875,8,7
ethical dream,0.8,10,8
usual promoter,0.8,10,8
optical answer,0.45454545454545453,11,5
southern disruption,0.8,10,8
fundamental bicycle,0.1111111111111111,9,1
outside reporting,1.0,9,9
fresh bankruptcy,0.5555555555555556,9,5
low apprenticeship,0.7777777777777778,9,7
Conservative fax,0.5,10,5
mainstream soil,0.3333333333333333,9,3
dual simulation,0.7,10,7
positive curtain,0.1111111111111111,9,1
collaborative frame,0.5555555555555556,9,5
net glove,0.5555555555555556,9,5
retail medication,0.7777777777777778,9,7
administrative fringe,0.5,10,5
Catholic arm,0.3333333333333333,9,3
North prohibition,0.4,10,4
lovely channel,0.6666666666666666,9,6
widespread founder,0.2222222222222222,9,2
environmental worship,0.5555555555555556,9,5
golden laser,0.7,10,7
long-term guitarist,0.8,10,8
radical flu,0.375,8,3
geographical seminar,0.7,10,7
giant efficacy,0.4444444444444444,9,4
Welsh exemption,0.5,10,5
standard farmer,0.8888888888888888,9,8
geographical submarine,0.375,8,3
part-time decoration,0.375,8,3
registered music,0.5555555555555556,9,5
dead incidence,0.125,8,1
adjacent prophecy,0.2,10,2
left dependence,0.3,10,3
affordable burning,0.5,8,4
generic mushroom,0.4444444444444444,9,4
academic killer,0.4,10,4
prestigious boundary,0.4444444444444444,9,4
minimum priest,0.0,8,0
formal youngster,0.5555555555555556,9,5
direct gambling,0.7,10,7
electric landing,0.4,10,4
dry perfection,0.5555555555555556,9,5
happy erosion,0.1111111111111111,9,1
gay subsection,0.3333333333333333,9,3
violent gospel,0.2,10,2
consecutive anxiety,0.3333333333333333,9,3
concrete pro,0.5,10,5
parliamentary barrel,0.1,10,1
related diocese,0.2,10,2
rear American,0.4,10,4
identical entrant,0.42857142857142855,7,3
medieval relevance,0.8,10,8
ready playground,0.5,10,5
ongoing lounge,0.5555555555555556,9,5
female shelf,0.2222222222222222,9,2
Turkish predator,1.0,9,9
established cage,0.2222222222222222,9,2
nuclear distress,0.7,10,7
random governor,0.5555555555555556,9,5
thick builder,0.5555555555555556,9,5
past basketball,0.4,10,4
beneficial prominence,0.5,10,5
regulatory proximity,0.5,10,5
gentle umbrella,0.3,10,3
hidden reviewer,0.75,8,6
Dutch grass,0.7142857142857143,7,5
audio symposium,0.7777777777777778,9,7
defensive distinction,0.375,8,3
sick residue,0.2222222222222222,9,2
beautiful abolition,0.6666666666666666,9,6
inclusive herb,0.3333333333333333,9,3
northern steering,0.5,10,5
residential cocktail,0.1111111111111111,9,1
statistical prototype,0.5,8,4
well-known parade,1.0,10,10
urban pilgrimage,0.8571428571428571,7,6
red asylum,0.375,8,3
sure suspension,0.6,10,6
sweet entrant,0.7,10,7
undergraduate backing,0.25,8,2
crucial statute,0.875,8,7
audio dividend,0.2222222222222222,9,2
accessible debit,0.6,10,6
progressive hat,0.2222222222222222,9,2
ethical mouse,0.2222222222222222,9,2
interested stake,0.5,8,4
artificial ballad,0.3333333333333333,9,3
specified boyfriend,0.4444444444444444,9,4
worldwide postcode,0.5,8,4
extensive laughter,1.0,10,10
romantic tutor,0.5,8,4
collective ditch,0.2,10,2
rare notation,0.7777777777777778,9,7
qualified formation,0.5,10,5
natural final,0.2,10,2
dry fortress,0.5,10,5
ethical branch,0.3333333333333333,9,3
honest assignment,0.9,10,9
sick bond,0.5555555555555556,9,5
frequent wording,0.7777777777777778,9,7
Arab clarification,0.3,10,3
interesting motto,1.0,10,10
due illustrator,0.2222222222222222,9,2
educational attorney,0.5,10,5
northern pesticide,0.6666666666666666,9,6
physical spine,0.5,10,5
North leaflet,0.3333333333333333,9,3
net painter,0.5555555555555556,9,5
biological urine,0.4,10,4
Japanese profit,0.6666666666666666,9,6
minor embryo,0.2857142857142857,7,2
brown banana,1.0,8,8
ill acknowledgement,0.4444444444444444,9,4
Swedish bait,0.6666666666666666,9,6
native butter,0.4,10,4
Israeli making,0.2,10,2
near freight,0.5555555555555556,9,5
efficient concession,0.7,10,7
helpful pregnancy,0.4,10,4
affordable calculation,0.6,10,6
sexual farming,0.1111111111111111,9,1
charitable lack,0.3,10,3
abstract matrix,0.5555555555555556,9,5
powerful polymer,0.9,10,9
superb elimination,0.5714285714285714,7,4
charitable sleeping,0.1111111111111111,9,1
typical parliament,0.625,8,5
pleasant tooth,0.25,8,2
responsible presenter,0.6666666666666666,9,6
digital triangle,0.5,10,5
nuclear pesticide,0.42857142857142855,7,3
genetic avenue,0.5555555555555556,9,5
immediate cow,0.0,9,0
thick congratulation,0.2,10,2
collaborative plea,0.6666666666666666,9,6
bad illustrator,0.8888888888888888,9,8
widespread archives,0.75,8,6
comprehensive eligibility,0.6,10,6
regional glance,0.2,10,2
archaeological labor,0.8,10,8
marine beat,0.4444444444444444,9,4
progressive thesis,0.8,10,8
ready tomb,0.4444444444444444,9,4
emotional lottery,0.5555555555555556,9,5
instrumental dead,0.25,8,2
quick chimney,0.0,8,0
next ore,0.3333333333333333,9,3
disabled pregnancy,0.375,8,3
hot ministry,0.7,10,7
fellow ventilation,0.1,10,1
ill concession,0.6,10,6
provincial gospel,0.5555555555555556,9,5
Soviet behalf,0.3333333333333333,9,3
honest puzzle,0.5,10,5
reasonable republic,0.6666666666666666,9,6
annual violence,0.7777777777777778,9,7
favourite granite,0.8,10,8
Indian verdict,0.7,10,7
due lot,0.3,10,3
ready mystery,0.2222222222222222,9,2
prior hull,0.3,10,3
southern outcome,0.5555555555555556,9,5
artistic vampire,0.5,10,5
illegal aviation,1.0,8,8
holy electronics,0.1111111111111111,9,1
illegal epic,0.5555555555555556,9,5
guilty forest,0.0,9,0
sweet golf,0.2222222222222222,9,2
magnificent short,0.5,8,4
blue racism,0.3,10,3
skilled astronomy,0.4,10,4
dangerous dark,0.5,10,5
convenient impact,0.6,10,6
instrumental message,0.75,8,6
defensive weekday,0.1,10,1
bad pharmacy,0.7777777777777778,9,7
widespread liaison,0.3333333333333333,9,3
rear liver,0.0,10,0
funny juice,0.5,10,5
western breakthrough,0.7777777777777778,9,7
direct scholar,0.375,8,3
busy dollar,0.0,10,0
presidential insurance,0.7,10,7
sound golf,0.3,10,3
parliamentary gem,0.4,10,4
optional assertion,0.7,10,7
coastal minute,0.2222222222222222,9,2
leading taste,0.5555555555555556,9,5
outstanding oxygen,0.2,10,2
contemporary snake,0.3,10,3
medieval pixel,0.2,10,2
optical acknowledgement,0.3,10,3
artificial commissioner,0.4,10,4
qualified lion,0.2,10,2
optional behalf,0.4,10,4
parliamentary physicist,0.4,10,4
disabled reach,0.4444444444444444,9,4
past thriller,0.6,10,6
major secretary,0.6666666666666666,9,6
serious thumb,0.4444444444444444,9,4
digital lieutenant,0.2222222222222222,9,2
statistical prisoner,0.2222222222222222,9,2
sufficient harassment,0.7,10,7
valid sustainability,0.7142857142857143,7,5
outside genus,0.6666666666666666,9,6
substantial allergy,1.0,10,10
soft crater,0.4,10,4
compatible lion,0.2,10,2
audio ray,0.4444444444444444,9,4
lead enthusiast,0.625,8,5
peaceful tissue,0.2,10,2
civilian exemption,0.7777777777777778,9,7
sufficient manifesto,0.7,10,7
fundamental dancing,0.375,8,3
minimal neighbor,0.3,10,3
logical abortion,0.8,10,8
quick competency,0.7142857142857143,7,5
plastic weakness,0.1,10,1
experienced wildlife,0.7,10,7
careful spectrum,0.4,10,4
statistical island,0.4,10,4
overall fool,0.6666666666666666,9,6
spectacular axe,0.8,10,8
international leak,0.5555555555555556,9,5
upper consulting,0.3,10,3
lucky calculation,0.8888888888888888,9,8
Muslim barrier,0.6666666666666666,9,6
visual accountant,0.3,10,3
exciting syndrome,0.6,10,6
independent ancestor,0.3,10,3
excellent nominee,0.9,10,9
Dutch recorder,0.5555555555555556,9,5
close sexuality,0.6666666666666666,9,6
skilled pillar,0.125,8,1
amateur cone,0.3333333333333333,9,3
surprising fortress,0.75,8,6
interested mortar,0.2222222222222222,9,2
minimum workplace,0.125,8,1
public succession,0.6666666666666666,9,6
urban surf,0.6666666666666666,9,6
royal robbery,0.7,10,7
ready professor,0.7777777777777778,9,7
written refreshment,0.3333333333333333,9,3
accurate beef,0.14285714285714285,7,1
confident floor,0.0,10,0
Welsh dining,0.9,10,9
beautiful fluid,0.7777777777777778,9,7
charitable bicycle,0.0,9,0
absolute explorer,0.5,10,5
absolute carpet,0.0,9,0
unlikely dolphin,0.2,10,2
upper stamp,0.375,8,3
steep concern,0.3,10,3
Italian axe,0.3,10,3
undergraduate making,0.4,10,4
due chorus,0.4,10,4
surprising carrier,0.5555555555555556,9,5
oral peer,0.4,10,4
North probability,0.2,10,2
fixed romance,0.5555555555555556,9,5
east equivalent,0.3,10,3
planned terrain,0.4444444444444444,9,4
technical retreat,0.9090909090909091,11,10
clear poet,0.4444444444444444,9,4
wealthy kilometre,0.0,10,0
capable choice,0.8888888888888888,9,8
angry recruitment,0.5714285714285714,7,4
instrumental illustration,0.8888888888888888,9,8
historical accountant,0.8,10,8
manual playground,0.4,10,4
functional hair,0.6666666666666666,9,6
technological extinction,0.8888888888888888,9,8
electrical lending,0.0,8,0
combined doubt,0.5,10,5
wet coffee,0.5,10,5
accurate dependence,0.3333333333333333,9,3
sexual pipeline,0.4444444444444444,9,4
Scottish egg,1.0,10,10
relative embassy,0.25,8,2
sophisticated odd,0.0,9,0
inner heaven,0.6666666666666666,9,6
former completion,0.6,10,6
architectural tune,0.3333333333333333,9,3
sad verb,0.5,8,4
official castle,0.7,10,7
moral detection,0.6,10,6
busy consortium,0.7777777777777778,9,7
Israeli spiral,0.4,10,4
nice corporation,0.8888888888888888,9,8
South villager,0.5,10,5
lovely breakthrough,0.6666666666666666,9,6
regional lightning,0.8,10,8
outside repetition,0.2222222222222222,9,2
opposite pond,0.8571428571428571,7,6
vocal premiere,0.8,10,8
distant card,0.4,10,4
secure deer,0.42857142857142855,7,3
commercial messenger,0.8888888888888888,9,8
daily validity,0.6,10,6
geographical doll,0.1111111111111111,9,1
revolutionary dominance,1.0,6,6
applicable subscriber,0.6666666666666666,9,6
pleasant acknowledgement,1.0,9,9
dead predecessor,0.8333333333333334,6,5
sharp helmet,0.4,10,4
part-time square,0.2,10,2
professional encryption,0.8,10,8
ultimate corn,0.3333333333333333,9,3
ethnic bundle,0.5,10,5
economic sandstone,0.1111111111111111,9,1
perfect litigation,0.8,10,8
large prince,0.8,10,8
sudden grandson,0.4,10,4
ancient boost,0.4,10,4
rough accessory,0.6666666666666666,9,6
rear asthma,0.0,10,0
audio licensing,0.8,10,8
frequent pie,0.2,10,2
civilian cadet,0.625,8,5
Indian hell,0.1111111111111111,9,1
digital medicine,0.4444444444444444,9,4
domestic knee,0.2,10,2
parallel skull,0.0,9,0
systematic survival,0.7,10,7
blue regulator,0.6666666666666666,9,6
